@relation default
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute dim20 real
@attribute dim21 real
@attribute dim22 real
@attribute dim23 real
@attribute dim24 real
@attribute dim25 real
@attribute dim26 real
@attribute dim27 real
@attribute dim28 real
@attribute dim29 real
@attribute class {0,1,2,3,10,11,12,13,20,21,22,23,30,31,32,33,100,101,102,103,110,111,112,113,120,121,122,123,130,131,132,133,200,201,202,203,210,211,212,213,220,221,222,223,230,231,232,233,300,301,302,303,310,311,312,313,320,321,322,323,330,331,332,333}
@data
13.319035532036327, 74.69273263959938, 30.00446943956787, 92.33530138245551, 30.766842048716867, 93.93358024060106, 21.329194870355252, 75.20128579468334, 28.811799189311337, 98.88438217177031, 25.513191033842542, 67.89220946330529, 66.91057583292836, 97.12027706457725, 40.4598475757019, 93.07529978919256, 28.300348240769914, 66.95862077562369, 26.975192769802792, 56.406736441348784, 82.76242332722093, 43.68529948752662, 99.39487610699744, 24.82864849496107, 31.658969748035716, 46.35598834568323, 94.9832991802666, 61.22133466138605, 30.30845398503712, 68.8671713415483, 0
16.846498367515693, 11.797897873258556, 63.40610794599034, 19.240232041555547, 62.61273868562427, 79.05316035228283, 32.42593154623121, 69.97873579800459, 30.447750291740107, 34.70971510812995, 97.3582928571691, 75.32832830280896, 84.67584234645663, 53.57475354383537, 80.96966569665834, 49.23304179096112, 17.907478933702023, 16.255152335814003, 48.27235932080193, 34.64231356298387, 21.533651860993107, 49.88839020602121, 92.06088523008266, 15.219094115537734, 88.1457297228157, 19.32142271815924, 91.37499388011037, 52.73520602695171, 35.561966129898224, 37.330649257177974, 3
83.77641597672692, 48.7167221905191, 81.2709240252655, 79.23086589297381, 85.26507766210014, 82.57556483040227, 17.186684736370527, 68.8324311888863, 84.62335127440403, 17.907933363409256, 83.35097516024021, 47.01710173963406, 53.269006798941, 78.60134207665328, 84.21632261628814, 97.47465714906309, 81.57750592417149, 54.58716384487127, 16.861889610065397, 49.84953590434799, 36.419594150336955, 81.99217168085451, 53.49758574509081, 54.40404537104736, 86.22322076184763, 84.81821275915705, 39.2601804745514, 75.76014253672695, 53.25513400948574, 39.875270100600545, 12
43.87071552486985, 85.05524474288075, 61.33643660180381, 28.385750870851247, 88.0240068367475, 21.028719552089015, 42.156525262502406, 73.80558815925399, 72.28823737533223, 39.699601643821126, 50.6836916008659, 93.53935606088535, 90.06457071104612, 71.35840018741287, 98.94476597652748, 62.2587249906426, 4.840337667889805, 41.75658700315077, 10.282279122710225, 4.521590859915447, 4.536047148011601, 49.828037986183105, 29.795506694893447, 50.28255938236086, 17.41113358473827, 40.0449682835893, 84.76751886575552, 33.391671978360485, 91.47309145568597, 68.58267500510199, 0
95.69385446503418, 63.60233977372173, 74.3047024897854, 1.930731985722245, 64.86145069029831, 76.83480072809384, 14.343558806966882, 52.257923822358336, 52.517614489971784, 13.837113543626408, 83.63745898010437, 88.20600081011872, 40.42458891776107, 56.62966006598704, 63.21023341839871, 81.17514037774271, 83.33853933502704, 38.92450136004645, 75.26971809502541, 37.80870524997621, 18.181620200313507, 87.41207229854824, 48.17306297986917, 44.779993674852754, 29.195276916976443, 35.29888435321007, 49.07462353093085, 2.716034611910423, 88.92048158143197, 69.91973956614743, 300
48.965506409453475, 87.96562883417924, 5.214177667318309, 51.31461197031354, 34.201654406911366, 82.13646201676589, 51.397178646193694, 84.7843678336988, 83.9011979531304, 85.85701563722989, 47.998015924382386, 66.75855078666338, 15.42489469453821, 23.89272442017586, 97.05414541260188, 18.09092247130863, 45.696067033098124, 83.62245797037556, 86.11240989118737, 98.05518238348579, 48.86064299072956, 18.084798149916818, 74.64334121832181, 12.718964085584377, 51.576881868850755, 49.59283551184024, 15.921728753804157, 40.449515120743904, 73.10554151195541, 57.97703113265158, 101
86.18903511729926, 41.87218564762687, 50.2689035296927, 68.93223143444955, 17.011965338720746, 14.764375943365165, 86.61844406942258, 18.613743755240566, 16.704693544077806, 49.46696082237584, 20.03902763283551, 84.73786533335854, 53.00751865731033, 15.685032279526611, 16.382446445471455, 50.79064925870263, 71.25837197926597, 43.129793973268434, 59.13048882485511, 88.40561897611768, 80.9118437160818, 15.134071117380287, 15.953538278445432, 80.7892258217946, 48.110960091025184, 70.90162920282326, 85.07835027921674, 86.71724530470549, 87.55676789057803, 40.57912377164745, 230
82.70481250846137, 72.23695034722729, 7.98872105535664, 63.34429671461469, 82.73172139991698, 30.813584405773888, 97.2111754064071, 25.2036459414253, 54.54554377379376, 63.394553741494086, 35.64480519863821, 54.02172616065194, 17.677054513698277, 79.87122165624719, 85.29983672209417, 69.69579608850583, 92.58460231846917, 59.155914060128346, 66.0733457208358, 99.61603165166156, 95.41141434241818, 5.255366553606422, 3.24139462057752, 47.44508395957672, 61.731706780530104, 16.684711765276163, 58.82185786658765, 48.75054538533702, 10.880816463474597, 15.44346721520119, 0
70.24195538401582, 71.7561261508172, 39.9749128701392, 70.11576311151403, 96.35286502954395, 22.190693992663913, 3.628101699242392, 79.60172842086189, 14.363375617800411, 64.03308218408522, 45.395137138282095, 11.208330210714168, 50.46721087705672, 13.92167310259259, 92.95339738520593, 32.49991931850802, 65.9864272992855, 72.66123493744598, 7.326559901499097, 11.513681354197692, 21.1128373741004, 8.43834903673205, 64.24428043404524, 82.67587215088247, 95.49609816330766, 53.98687069568708, 86.22393235060105, 28.47181272424394, 73.55888326301371, 46.8343265432299, 0
83.69493075150706, 63.994274302998356, 74.78324907783961, 22.369324918621192, 1.705526199051255, 75.65347300179813, 59.458434874344604, 43.08345285642514, 66.1884711081566, 15.771066070591743, 57.23739167331547, 9.748464753798448, 90.55446229677523, 5.244894183630777, 28.50143130025502, 31.852053073247077, 90.69026793746475, 26.871251107137528, 0.21708265577504715, 15.461100149027596, 63.58194676902864, 87.93159125872937, 96.47219040826133, 50.36424753976782, 78.8633502640619, 82.8466219774162, 78.97615612989925, 18.57126465727894, 43.391903252159956, 39.64348536954372, 0
